,code,title,resume,content,keyword
428,MGT-501,Economics of innovation,"The class gives an overview of innovation economics and management. The class covers the sources and types of innovation, its diffusion, intellectual property and national innovation systems. Finally, it explores the influence of these dimensions on firm strategy and national policy."," General introduction to the economics of innovation Topics covered include: sources of innovation, innovation and growth, introduction to intellectual property, how competition influence innovation, diffusion of innovations Group work lasts 7 weeks of the class and includes data intensive work collecting, analysing and reporting on an innovation related topic. The students will write a report and prepare an oral presentation    Remark: the course will be taught the first 7 weeks of the semester. ",Innovation - Economics - Innovation Economics - Diffusion - Competition - Intellectual Property - Strategy - Management
429,MATH-201,Analysis III,Introduction to vector calculus and Fourier series.," line integrals surface integrals theorem of Green, Gauss and Stokes coordinate free definitions of div, grad, curl scalar & vector potentials for vector fields Fourier series ","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
430,ENV-426,Fluvial biogeosciences,"Students will understand basic physical, chemical and biological processes in streams and rivers, and how they relate to the integrity of these ecosystems and to water resources. ","Language en    The class will provide insights into basic phy... fr                                                  NaN Name: Contenu, dtype: object","Language en    biogeosciences, streams and rivers, hydrodynam... fr                                                  NaN Name: Mot-clef, dtype: object"
431,AR-323,History of architecture V,"The course aims to provide critical tools for a thorough understanding of key themes and personalities that characterize the architecture of the nineteenth century, with particular emphasis on the theory of structural truth and symbolic envelope.","From the wall ordonnancé of Schinkel to the waandarchitectuur of BerlageSchinkel and Labrouste: wall and metal structure. Quatremère de Quincy, Hittorff, Semper: from the polychromie in the antiquity to the Prinzip der Verkleidung. Viollet-le-Duc and the truth of structure, material and program. Castiron construction in New York. From Le Baron Jenney to Sullivan: research on the features of the skyscraper. Wright and the myth of space. Wagner, Hoffmann, Olbrich, Plecnik, Loos: bordered surface or without suture. Gaudì and the architecture of small chains. Berlage and the waandarchitectuur.","Language fr    NaN en    NaN Name: Mot-clef, dtype: object"
432,AR-455,Urbanism and Territories,"Urban and regional planning is at the articulation of spatial policies's  impacts. Several scales, many actors and multiple domains do have importance. The concepts, methods and models of engineering, architecture and humanities are required.","The interdisciplinary concepts which are necessary to understand the way planning actions transform cities, urban areas, and territories. Study cases of spatial strategies on cities and urban regions. Cognitive and operational instruments which in fact regulate and organize land uses.Two particular study cases: rural areas, and spaces of mobility and transport.","Urbanism, regional development, participation, planning, strategy, process."
433,CH-233,Organic functions and reactions II,"The course will focus on the reactivity of carbonyl compounds: their structure, reactivity and transformations; the reaction of enols/enolates. The understanding of reaction mechanisms, chemo-, regio- and stereo-selectivities will be emphasized. ","1) Acidity and basicity of organic compounds 2) Transition state, Hammond postulate, Curtin-Hammett principle3) Kinetic and thermodynamic control4) Cabonyl compounds: nomenclature, structure and reactivity, reaction mechanism5) Reversible addition to carbonyl: hydration, hemiacetal, acetal, imine, enamine, bisulfite addition, cyanohydrine, Strecker reaction6) Irreversible addition to carbonyls: reduction to alcohols, to alkanes, chemoselectivity7) Redox reaction of carbonyls: Meerwein-Ponndorf-Verley, Tishchenko, Evans-Tischenko,Cannizzaro, benzoin and Stetter reactions, etc... 8) Wittig reaction and its variants9) Addition of organometallic to carbonyl (Grignard, organolithium, organozinc, organocerium etc)10) Enol and enolate: formation, reactivity and regioselectivity11) Reaction of enol and enolate: haloform, alkylation, aldolisation, Mannich, claisen, Dieckmann reactions etc, stéréosélectivité 12) Rearrangement: Cope, Claisen, Alder-ene, Bayer-Villiger, Beckmann, Pinacol etc...","Acidity, basicity, kinetic, thermodynamic, reactivity of carbonyl, of enol/enolate, organometallic, rearrangement"
434,HUM-429(b),Philosophy of life sciences II,"Evaluate the main positions in a chosen philosophical debate. Develop, possibly in a group, a solid approach to one or more philosophical problems of that debate. Defend your analysis and conclusions.",See the full description of the course in the Introduction to project of the fall semester HUM-429(a). The content depends on the chosen project. The topic for the project has to be linked to the lecture/seminar of the previous term (HUM-429(a) Philosophy of life sciences I).,"Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
435,EE-553,Speech processing,"This course is an introduction to modern methods of digital signal processing within the fields of speech analysis, compression, synthesis, recognition and human-machine voice communication","IntroductionSpeech - fundamental means of communication between humans. Voice signal generalities.Speech production and perceptionAnatomy. Speech production. Articulatory phonetics. Acoustic phonetics. Models of speech production. Auditory perception. Psychoacoustics. Models of speech perception. Masking and critical bands.Speech analysis and modellingShort-term processing. Time-domain analysis. Spectral and time-spectral analysis. Cepstral analysis. Linear prediction analysis. Pitch and formant estimation. Speech recognition Deterministic modelling (Dynamic time warping (DTW) and Vector quantization (VQ)).  Statistical modelling (hidden Markov models (HMMs) and Gaussian mixture models (GMMs), Baum-Welch and  Viterbi algorithms). Isolated-word, connected-word and continuous recognition systems Speaker recognition Intra- and inter-speaker variability. Speaker verification and identification. Deterministic and statistical methods. Text-dependent and text-independent recognition. Speech compression and coding Waveform coding (PCM, DPCM, ADPCM). Sub-band coding. Parametric coding (Vocoders). Vector quantization. Hybrid coding (Code excited linear prediction (CELP)). Perceptual Coding. Voice over IP.Speech synthesis Prosody. Synthesizers (Waveform synthesis. Parametric synthesis. Articulatory models). Synthesis systems (Text-to-speech synthesis).Human-machine voice communication Integration of subsystems. Dialogue systems (Rapid prototyping of dialogue manager). Human-robot voice communication. Interactive voice servers. Dictation systems.","speech processing, speech production, speech perception, speech recognition, speaker recognition, speech compression, speech synthesis, voice communication"
436,HUM-416(b),Men / Machines II,"The Machine-Man has become real. From electronic prosthetics to bio-inspired robotics, the human body has become a hybrid, in part technological. Our environment, our work, our behavior, and our styles of life are modeled by machines.",See the full description of the course in the Introduction to project of the fall semester.,"Language fr    Homme-machine, robotique, cyborg, science-fict... en                                                  NaN Name: Mot-clef, dtype: object"
437,CIVIL-532,Materials and structures,"Starting from basic knowledge of concrete technology, this course develops relations between composition, processing, microstructure and structural properties of new concretes, with a special emphasis on Ultra High Performance Fibre Reinforced Concretes (UHPFRC).","    Background and motivation;  basic components, binders and Supplementary Cementitious Materials (SCM);  rheology of fresh cementitious materials and admixtures;  optimisation of properties;  improvement of workability (self-compacting concretes - SCC);  improvement of mechanical strength (HSC - UHPFRC);  improvement of deformability (addition of fibres, FRC and UHPFRC);  mechanics of strain hardening fibre reinforced concretes;  improvement of durability (NC, HSC, UHPFRC); test methods  specification of materials and quality insurance; assessment of environmental impact  ways towards conceptual design of innovative structures   "," Fibre Reinforced Concrete (FRC), UHPFRC, SCC, binders, SCM, admixtures, hydration, microstructure, strain hardening, density, packing, workability, deformability, resistance, structural response, environmental impact"
438,CIVIL-515,Flood and dam break waves,"The course provides computational methods for unsteady flow problems such as floods, waves, and dam failures. The emphasis is on the physical understanding of the phenomena, the governing equations (Saint-Venant equations) and aspects related to engineering practice.","	Conservation equations: Saint Venant equation, back water curves, limits in the use of the shallow water equation, diffusion, convection, advection-diffusion	Flood and inondation:  physical phenomena, use of the Saint Venant equations, kinematic wave, diffusive wave, hydrological methods (SCS, QdF, Gradex, etc.) 	Waves: mobile hydraulic jump, wind-induced waves, dynamic wave, roll waves, wave, tsunami, impulse wave	Dambreak: physical phenomena, how to study them in engineering, failure mode, the dam break problem for viscous and nonviscous materials, effect of bed friction on propagation, numerical methods to solve hyperbolic problems","Saint-Venant equations, hydraulic jump, backwater equation, flood, dam break, wave, flow rate, inundation, tsunami, dam, kinematic wave, dynamic wave, diffusive wave, convection, advection, diffusion, parabolic and hyperbolic problems"
439,MICRO-504,"Language en    Photonic micro- and nanosystems Name: Title, dtype: object","Language en    This course aims at providing engineering and ... Name: Resume, dtype: object","Language en    \nIntroduction: Course Overview; Review of Rel... Name: Contenu, dtype: object","Language en    Optical MEMS, MOEMS, Silicon Photonics, Micros... Name: Mot-clef, dtype: object"
440,PHYS-422,Physics lab IVb,The student applies the competencies acquired during her/his studies in a research study developed in one of the laboratories of the physics section under the supervision of  teacher of the section. The student is present during a whole day of the week in the laboratory during the semester.,"Learning outcomes:For Physics lab IV performed in one of  the section laboratories the subject treated can be in the domain of  theoretical, experimental or applied physics. For the Physics lab IV  performed in another section of the EPFL, a description of the subject  must be provided to the deputy-director of the Physics Section to allow  him to make a decision about the adequacy of it to the learning  objectives of the Physics Section.","applied physics, research, investigation"
441,MICRO-332,Clean room practical work (Autumn)(in groups),"In groups of 4 students and accompanied by an assistant, each student will learn basic procedures and manipulations, as practiced in a clean room. For each group, the TP consists of 3 sessions of 4 hours each.","1. Introduction to the clean room  (1 session)Clean room environment, security aspects, process flow chart.2. Basic micro-electronic and microsystem procedures (2 sessions)A specific project will be proposed to a group of students allowing them to practice:a photoresist deposition processa photolithography step with alignmenta wet or dry etching stepSeveral methods will be used to characterize the effect of the process parameters on the quality and resolution of the patterned microstructures.","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
442,ENV-402,Sanitary engineering in developing countries,"This MSc course deals with the water & sanitation challenges in developing countries. You will learn about the dialogue on water and sanitation in DCs, identify key players and know the existing options of water & sanitation technol. + be able to design a technical project and analyse proposals. ","Overview of the health situation, water supply, and liquid, solid waste and faecal sludge disposal in developing countries. International development policy. Technical and scientific fundamentals of water supply, sanitation & solid waste management (collection, haulage, treatment, reuse). Material flows in the water supply, waste disposal and urban agriculture. Connection between excreta disposal and health. New concepts and approaches for a sustainable water supply and sanitation in developingcountries.","Developing Countries, Health impacts of water and sanitation, Water Quality, Water supply and treatment, Excreta Management, Wastewater management, Faecal sludge management, Solid waste management, Environmental sanitation Planning"
443,MATH-101(a),Analysis I,"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable.","- Reasoning , proving and arguing in mathematics - Numbers, structures and functions - Sequences, limit and continuity - Series of reals - Real-valued functions of a real variable and convergence - Differential Calculus and the Integral","  real numbers, function, sequence,convergent/divergent sequence, limit, subsequence, limit of a function, continuous function, series of real numbers, convergent/divergent series, absolute convergence, derivative, class C^k, mean value theorem, Taylor's theorem, Taylor series, Riemann integral, indefinite integral, intermediate valuetheorem, "
444,ENV-595,Master project in Energy Management and Sustainability,The student applies the competences acquired during his studies in an engineering project lasting 4-6 months,"The students realize an engineering project, integrating several aspects of compentences acquired during his studies: application of theoretical concepts, application of laboratory techniques and methods, modeling and fabrication skills. During the project, the student will apply his competences on a real problem that requires the typical approach of an engineer: problem analysis, study of solutions, final implementation and realization","Application, Industry, Realisation"
445,CH-161(en),General chemistry (English),"This course aims at the acquisition of essential notions on the structure of matter, chemical equilibria and reactivity. Theoretical teaching and exercise provide the methodology to analyze and solve by reasoning and calculation novel problems of general chemistry.","  1. Atomic theory : Electronic structure of atoms, atomic orbitals, spectroscopy, the periodic table 2. Chemical bonding : Lewis dot structures, octet rule, ionic bond, covalent bond, bond energy, VSEPR model, geometry of molecules, molecular orbitals, dipolar moment, van der Waals and London forces, intermolecular bonds. 3. Chemical quantities : Atomic/molecular mass, isotopes, notion of mole, chemical formulas, concentrations. 4. Chemical reactions and stœchiometry : Chemical equations, limiting reactant, electrolytes, ideal gas law, partial pressures. 5. Thermochemistry : Internal energy, first principle of thermodynamics, enthalpy of physical and chemical transformations, entropy, second principle, Gibbs free energy. 6. Chemical equilibria : Gibbs free energy in a mixture, chemical potential and activity, reaction quotient, equilibrium constant, influence of reactions parameters on equilibria. 7. Properties of solutions : Dissolution and solvation, solubility of solids, Raoult's and Henry's laws, colligative properties of solution (boiling point elevation, freezing point depression, osmotic pressure). 8. Proton transfer : Acid-base equilibria: Brønsted-Lowry theory, acid-base couples, ionization constant, pH scale, calculation of pH values, acid-base titration. 9.  Electron transfer : Electrochemistry: Balancing redox equations, electrochemical cells, standard potentials, batteries and rechargeable cells, Nernst's equation, corrosion, Faraday's law, electrolysis. 10. Chemical kinetics : Reaction rate, rate law, molecularity and reaction order, activated complex theory, Arrhenius' law, catalysis. ","  Electronic structure of atoms, chemical bonds, stoechiometry, thermochemistry, thermodynamic equilibria, acids and bases, redox processes, chemical kinetics "
446,PENS-200,La maîtrise du sol en droit suisse,This course is an introduction to Swiss law. The goal of this course is to make aware the students of the 3 ENAC sections of the importance of this subject for their future profession and allow them to share their knowledges to Design & Build together.,"Language en                                                  NaN fr    Le cours se compose de 7 leçons de 2 périodes ... Name: Contenu, dtype: object","Language en                                                  NaN fr    \n\nIntérêt - loi - droit - règle - plan - déc... Name: Mot-clef, dtype: object"
447,MATH-592,CSE project II,The student applies the acquired skills to a theoretical or applied research project.,"The students are confronted with the realization of a project integrating several aspects of Mathematics. This project will allow them to apply, to theoretical or concrete problems, skills of domain and transversal skills acquired during their studies. The projects are available on the web sites of the chairs of Mathematics or by direct contact with the professor or MER.","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
448,PHYS-101(b),General physics I,"Give the student the basic notions that will allow him or her to have a better understanding of physical phenomena, such as the mechanics of point masses. Acquire the capacity to analyse quantitatively the consequences of these effects with appropriate theoretical tools.","The course may contain, but not exclusively, the following elements : Mechanics Introduction : Reference frames. Basic vector operations. Coordinate systems. Kinematics of point masses : Velocity, acceleration, equation of motion, linear motion, circular motion. Dynamics of point masses : Momentum, Newton'slaws, Fundamental forces. Oscillatory motion. Angular momentum. Work, power, energy : Kinetic energy, potential energy, conservation laws. Gravitational motion. Collisions and percussions.","General physics, point mass, coordinates, kinematics, force, energy, work"
449,AR-402(y),Studio MA2 (Huang),"This studio explores meaningful form generating processes by the use of algorithmic and parametric tools and introduces the notion of growth typologies. Our studio site will be in Singapore, our programme the procedural design of an innovation building prototypology.","Language en    The advent of new digital technologies has had... fr                                                  NaN Name: Contenu, dtype: object","Language en    • Data-driven Design\n• Parametricism\n• Morph... fr                                                  NaN Name: Mot-clef, dtype: object"
450,COM-421,Statistical neurosciences,"In neuroscience, new measurement techniques have permitted to acquire a wealth of experimental data, both scientific and commercial. This class introduces the student to a variety of statistical tools, tailored to the special case of neural data. Students will work with various real data sets.","Examples of the latter include neuromarketing and the control of computer machinery via brain signals. This opens the door for large-scale statistical approaches. The class introduces the student to a variety of statistical tools , tailored to the special case of neural data. An integral part of the class is for the student to work with real data, choosing from a number of data sets and applying the techniques studied in class.  Tuning Curves and Receptive Fields (spatio-temporal and spectro-temporal) (5 weeks) Statistical Models, Gaussian Process Factor Analysis (2 weeks) Information-theoretic Techniques (3 weeks) Network Science (2 weeks)   ","Neuroscience, Statistics, Regression, Entropy, Information Theory, Information Measures, Graphical Models"
451,ME-466,Instability,This course focuses on the physical mechanisms at the origin of the transition of a flow from laminar to turbulent using the hydrodynamic instability theory.,"Language en    Learn to understand the complex phenomena orig... fr                                                  NaN Name: Contenu, dtype: object","Language en    Instability, linearization, bifurcation fr                                        NaN Name: Mot-clef, dtype: object"
452,CIVIL-350,Conception et gestion des systèmes de transport,Creating performing infrastructures for transport systems have to consider effects and impacts on environment and safety. Managing transport systems and considering maintenance and renewal work impact the choices of the civil engineer.,"Language en                                                  NaN fr    Introduction aux transports (définitions, enje... Name: Contenu, dtype: object","Language en                                                  NaN fr    Transport, infrastructures, conception, voie f... Name: Mot-clef, dtype: object"
453,MSE-432,"Language en    Introduction to magnetic materials in modern t... Name: Title, dtype: object","Language en    Interactive course addressing bulk and thin-fi... Name: Resume, dtype: object","Language en    The course explains the relation between prope... Name: Contenu, dtype: object","Language en    Spontaneous magnetism, magnetism of elements a... Name: Mot-clef, dtype: object"
454,ME-516,Lifecycle performance of product systems,"Provide the conceptual, scientific, technical and methodological understanding of measuring and evaluating the impact of engineering decisions on economic and environmental performance in the lifecycle of a product-system.","Overview of lifecycle performance challenges of product systems todayLifecycle characteristics of products in Beginning of Life (BOL), Middle of Life (MOL) and End of Life (EOL) phasesKey Performance Indicators (KPI) of product systems in BOL, MOL and EOLMethodologies for Lifecycle Economic & Environmental Performance Evaluation of product systems Overview of lifecycle design & assessment  tools including LCA/LCCCase Studies of Lifecycle Economic & Environmental Performance Evaluation of alternative lifecycle product system configurations","Product Lifecycle,  LCA, LCC"
455,ENV-361,Urban and regional planning and Management,At the end of the course studends will understand the mains problems of territorial development. They will konw the tools used for town and country planning. They will learn property procedures and financial aspects related to territorial projects. ,"   transition from urban development to land use planning today's territorial situation land use planning: tools of Confederation, cantons and districts property ownership and the method and tools for its management financial aspects of public utilities procedures and coordination   ","Land use planning, property management, territorial development, public utilities"
456,HUM-418(b),Picture history II,The class aims at introducing to the study of disputes about big artistic exhibitions.,"Expo 64: exhibition and media  The Expo 64 has been considered to be among the most important shows  of the 20th century, whose echo went far beyond the Swiss borders.  Through its example, the class will address the topic of exhibition as a  mass media incorporating and interacting with other visual media such  as film, photography, graphic design, television. The Expo 64 will be  discussed through various perspectives – political, architectural,  scenographic, artistic. More specifically, it will allow to discuss the  advent of projection in exhibitions and the development of contemporary  forms of exhibition design.","Exhibition, art, architecture, photography, film, graphic design, spectator "
457,CS-111(d),Programming,Understand basic programming concepts. Develop a simple program. Debug methods and good practice. Introduction to scientific programming. Introduction to data flow programming. ," Introduction to programming Debug methods and good practice Structured programming Data flow programming Introduction to scientific programming Introduction to data flow programming Virtual instrumentation Data acquisition, processing and visualisation   ","Programming, Algorithms, Visualisation, Matlab, LabVIEW    "
458,CS-434,Unsupervised and reinforcement learning in neural networks,"Learning is observable in  animal and human behavior, but learning is also a topic of computer science. This course links algorithms from machine learning with biological phenomena of synaptic plasticity. The course covers unsupervised and reinforcement learning, but not supervised learning.","I.	unsupervised learning 1. Neurons and Synapses in the Brain. Synaptic Changes2. Biology of unsupervised learning, Hebb rule and LTP .  3. Hebb rule in a linear neuron model and PCA 4. Analysis of Hebb rule and  application to development5.  Plasticity and Independent Component Analysis (ICA) 6.  Competitive Learning and Clustering7. Kohonen networks II. Reinforcement learning 8. The paradigm of reward-based learningin biology and theoretical formalisation9.  Reinforcement learning in discrete spaces10.  Eligibity traces and reinforcement learning in continuous spaces and applications III. Can the brain  implement Unsupervised and Reinforcement learning?  11. Spiking neurons and learning: STDP12. Neuromodulators and Learning13.  Long-term stability of synaptic memory14. Unsupervised learning from an optimalityviewpoint: Information Maximization",synaptic plasticity learning rules learning algorithms neural networks
459,CH-448,Photomedicine,"The most important clinical diagnostic and therapeutic applications of light will be described. In addition, this course will address the principles governing the interactions between light and biological tissues, their optical properties and basic concepts in photobiology and photochemistry. "," Brief history Radiometry and Photometry Brief introduction to general optics and tissue optics Light dosimetry Light-tissues interactions Introduction to molecular optical spectroscopy (Absorption, fluorescence spectroscopy and imaging techniques; vibrational and Raman spectroscopy; time-resolved luminescence spectroscopy and imaging) Dyes and luminophores Instrumental aspects (Light sources, detectors and optical systems) Light sources, detectors and optical systems. Illustrative and most important applications of light in photomedicine ","Photomedicine, biomedical optics, tissue optics, photobiology, photochemistry, light-tissue interactions, photodiagnosis, phototherapy, light dosimetry, dyes, photosensitizers."
460,MGT-455,Practical business law,"Students are trained at mastering fundamental concepts of business law from a practical standpoint, including contracts, intellectual property and company law. Attention is drawn to material issues in several contexts, with a focus on the parties' needs and the ways to best address them.","This course will cover the legal foundation of international business transactions with focus on practical handling of legal issues frequently arising in a business context. This course includes:  an introduction to contracts (formation, completion and termination)  a study of common business agreements (purchase and sale agreements, manufacturing agreements, services agreements, cooperation agreements, non-disclosure, non-compete), an overview of intellectual property (patents, copyrights & trademarks),  an overview of competition law and data protection, technology development and transfer agreements (licenses, franchises, R&D, joint ventures), company law, with special emphasis on start-up companies, including incorporation of a company, relationships amongst shareholders and financing by investors, a role game (limited participation) enabling students to negotiate a business transaction and handle a litigation case.  Specific skills will be taught, such as drafting typical contractual clauses and some negotiation techniques. Finally, this course draws the students' attention to certain issues relating to taxation and dispute resolution.","Law, legal, negotiation, business transactions, contracts, companies, intellectual property, start-up."
461,ME-323,Chemical process control,Provide the students with basic notions and tools for the modeling and analysis of dynamic systems. Show them how to design controllers and analyze the performance of controlled systems., Principles of automatic control  Dynamic models of chemical processes Linearization and concept of transfer function On-off and PID control algorithms System stability Control performance Advanced process control Elements of digital control Sensors and actuators ,"Mathematical modeling, transfer function, time response, PID control, advanced control"
462,EE-525,HF and VHF circuits and techniques II,Master the design of circuits and systems at high frequency (HF) and very high frequency (VHF) (1 MHz-6GHz). This lecture is particularly oriented towards circuit aspects of modern communications systems,1) HF PowerAmplifiers2) Mixers3) Oscillators4) Frequency Synthesizers5) Modulators and Demodulators (Circuit aspects)6) Transceivers Architecture7) Spread-Spectrum Techniques8) Aspects of Mobile Communications Systems: the GSM,Radio frequency wireless communication circuits HF and VHF wireless communication circuits
463,ChE-408,Eco-friendly production and process intensification,"Chemical and engineering metrics are introduced to assess sustainability & ecology of chemical processes. Innovative design principles are presented allowing the design of intensified chemical production leading to waste reduction, increased reactor safety and high product quality.  ","1. Introduction :The origin of waste, chemistry and chemical engineering metrics 2. Chemicals process routes:Synthesis route selection, catalysis in fine chemicals production 3. The importance of mixing in homogeneous systems: mixing processes & models, segregation in real reactors, influence on product distribution 4. Heat management in continuous reactors: temperature profile in flow micro-reactors, run away behavior, energy recuperation, coupling of endo-/exothermal reactions 5. Alternative reaction conditions & heat sources: Dynamic reactor operation, chemistry under extreme and unconventional conditions (high temperature and pressure), supercritical fluids, novel solvents, ionic liquids, microwave heating, ultrasound for mixing and reaction activation, multifunctional reactors  ","Chemical metrics, green chemistry and engineering, process intensification, sustainable production, flow chemistry, novel process windows, structured catalysts, micro-structured reactors,  "
464,PHYS-336,Building physics VI,This course covers the energy design and dimensioning of buildings and should enable the students to get acquainted with the key operational aspects of the domain. ,Building energy balance. Building energy performance optimization. Building integration of passive solar energy systems. Capacity planning of back-up heating. Thermal comfort assessment. Optimisation of energy retrofit costs. Building energy analysis and design software.,"Sankey diagram, building global thermal losses. Outdoor climate, accumulated temperature differences, degree days. Gross building energy demand, net building energy demand. Solar gains, internal gains, utilization factor. Maximal power capacity of back-up heating. Thermal comfort, overheating risks. Energy renovation costs."
465,MATH-460,Combinatorial optimization,The guiding question of Combinatorial Optimization is: How do I efficiently select an optimal solution among a finite but very large set of alternatives? We will address the solution of this question in the context of classical discrete optimization problems. ,"Language en    \nPaths and flows: Stronlgly polynomial time a... fr                                                  NaN Name: Contenu, dtype: object","Language en    \nAlgorithm\n Polyhedron\n Matroid\n NP-comple... fr                                                  NaN Name: Mot-clef, dtype: object"
466,MATH-202(c),Analysis III,"Introduce notions of advanced analysis necessary to derive the models of mathematical physics for engineering sciences. Introduce Fourier's series with emphasis to solve classical partial differential equations; e.g. heat, wave and Laplace's equations.","  Vectorial analysis:   smooth curves and curvilinear integrals, pieces of surfaces and surface integrals,  gradient, divergence, rotationnal, laplacian and the Stokes' and Gauss' theorems,  curvilinear orthogonal coordinates.  Introduction to the Fourier series:   applications : solving the one dimension heat and wave equations with Fourier series. ","Vectorial analysis, curvilinear and surface integrals, gradient, divergence, rotationnal and laplace operator, Gauss' and Stokes' theorems, Green's formulae, Fourier's series."
467,MGT-526,Supply chain management,"This course introduces key concepts in supply chain management. It uses a combination of case studies, simulation exercises, formal lectures and group discussions to illustrate how the various concepts can be successfully implemented in practice.",  Designing the Supply Chain to Match Value (Ocado Case) Supply Chain Simulation Exercise (The Beer Game) Supply Chain Challenges (Philips Case) Leveraging Information Flows (7-11 Japan Case) Introduction to Inventory Control Models Designing for Supply-Chain-Responsiveness (Obermeyer Case) Supply Chain Portfolio Management (Hilti Case) Global Supply Chain Management Simulation Rebuilding the Logistics Platform (Lego Case) Outsourcing and Supplier Relationships (Freqon Case) Supply Chain Environmental Management (Unilever Case) Introduction to Supply Chain Finance (Nestlé Russia Case) Mass Customization Challenges (mi-adidas Case) FINAL EXAM given during last class session ,"Supply Chain Management, Case Studies and Inventory Control"
468,AR-401(i),Studio MA1 (Lamunière),"New urban life styles, hypermobility, mixed use programs and densities, question complexity and scale in urban architecture. In very large cities of the XXIst century, hubs as city infrastructures are inductive of innovative projects at local and global scales. Study case 2016-17: Doors to Mahattan.","« Urbanculture » is a method. The design phase will concentrate on the relationship in between rational strategies (functionality, construction and structures) and more intuitive notions of comfort and climate. An approach of the final design will be developed through physical models and atmospheric images. Innovation should thus result in combining very material aspects of architecture with « climatic » (weather as much as social, etc.) spaces. « Urbanculture » renews design in architecture. New urban life styles, hypermobility, mixed use programs and densities question complexity and scale in urban architecture. In very large cities of the XXI st century, hubs as city infrastructures are inductive of innovative projects at local and global scales. This fall semester, the proposed project is located in front of San Giuliano channel, on the Venice terraferma. The site is situated next to the bridgehead of the Ponte della Libertà and in fact is an integral part of the “front door” of historic Venice. The LAMU studio proposes to explore new forms of temporary housing: student residences associated with a large park for recreation and sport in synergy with the entire lagoon: « Venice Campus - Living Playground »  ",Complex Design. Urban infrastructures. Urban transport. Density. Mixed use. Climatic architecture.
469,MSE-490(a),Research project in materials I,The student applies the acquired skills to an academic or industrial project.,"The students are confronted with the realization of an engineering project integrating several aspects of Materials science. This project will allow them to apply, to concrete problems, skills of domain and transversal skills acquired during their studies. The projects are available on the web sites of IMX laboratories or other laboratories approved by SMX Section.  ","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
470,PHYS-200,Physics III,"Phenomenological approach, development of models, problem solving and applications of different chapters of physics: Elastic properties of solids and fluids, Physics of fluids, Electromagnetism (1st part).","Elastic properties of solids and fluidsStates of matter, continuum mechanics; elastic behavior; viscous behavior; bending and torsion, elastic instability, stress tensor, equations of equilibrium; strain tensor; strain energy; hookean elastic solids; newtonian fluids. Physics of fluidsKinematics of fluids; continuity equation; dynamics of ideal fluids; fluid statics; dynamics of viscous fluids; flow stability, Reynolds numbers and similarity; surfaces physics, surface tension and capillarity. Electromagnetism (1st part)Electrostatics, electric field and potential; steady current; magnetostatics; electric and magnetic properties of matter, polarization and magnetization.","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
471,ME-402,Mechanical engineering project II,The student applies the acquired skills to an academic or industrial projects.,During this project the students will employ the acquired skills to  solve a practical problem. The themes of these projects are chosen  amongst the research and development activities of one of the  laboratories affiliated to the Mechanical Engineering Section. The lists  of projects are available on the Web site of each of the laboratories  of the Section of Mechanical Engineering. In the framework of this  project it is possible to participate in an interdisciplinary project  with studets from other sections.,"Language en                            NaN fr    Application, Communication. Name: Mot-clef, dtype: object"
472,MSE-443(b),"Modelling problem solving, computing and visualisation II","Covers development and design of models for materials processes and structure-property relations. Emphasizes techniques for solving equations from models or simulating and visualizing behavior. Topics include symmetry, structure,  thermodynamics, solid state physics, mechanics, and data analysis.","Language en    \nDevelopment of Models, Solutions, and Visual... fr                                                  NaN Name: Contenu, dtype: object","Language en    Materials science, modeling, visualization, si... fr                                                  NaN Name: Mot-clef, dtype: object"
473,CIVIL-490,Construction project,"Application of master level skills  to an academic project in the design, construction or maintenance of a civil engineering structure.","Elaboration of a design project of a civil structure. Analysis of basic project data, generation of alternatives, comparison of alternatives and choice of the best solution, design and optimisation in the framework of a detailed design, cost estimation and construction planning, study of constructive details, elaboration of drawings (level detailed design and bidding document, ev. with reinforcement design). Technical report with detailed calculation. Executive summary.Team project based on a general project program established by professors in charge.","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
474,HUM-435(a),Managing organizations I,"This class is about organization management, going from entrepreneurship to people management in corporations, public administration or non profit organization studies. In particular, participants will learn to manage projects and practice leadership. ","The subjects that will be discussed can partially depend on the current issues and on the interest of the students. however, the following topics will be covered: - Structuring of organizations - Legal structures of organization and their consequences - Management and leadership - Organizational behavior - Accounting, finance and control - Power - Decision Making - motivation Although these domains will be presented at the theoretical level, they will also be discussed in a pratical point of view for a good understanding of their relevance in our society.","management, economics, leadership, administration, corporation, organization"
