SubjectName|SubjectID|CourseCode
Combinatorial optimization|129686166|MATH-460
Convexity|1898563769|MATH-461
Mathematical modelling of behavior|129688728|MATH-463
Geometric graph theory|129687015|MATH-466
Martingales in financial mathematics|1584194448|MATH-470
Computational finance|1771017288|MATH-472
Finite-Dimensional Algebras |1771011730|MATH-488
Projet de Mathématiques (master)|1807734531|MATH-498
Projet CSE I|243791097|MATH-591
Projet CSE II|243791456|MATH-592
Stage d'ingénieur (master en  Sciences et ingénierie computationnelles)|355561756|MATH-595
Stage d'ingénieur (master en Ingénierie mathématique)|426521225|MATH-596
Stage d'ingénieur crédité avec le PDM (master en Ingénierie mathématique)|652077020|MATH-597
Projet de master en science et ingénierie computationelles|967657884|MATH-598
Projet de master en mathématiques|132426961|MATH-599
Construction mécanique I (pour GM)|1927284144|ME-101
Construction mécanique I (pour MT)|1927284194|ME-106
Structural mechanics (for MT)|1776023686|ME-231(a)
Structural mechanics (for SV)|1770844214|ME-231(b)
Mécanique des structures (pour GM)|126877750|ME-232
Thermodynamics and energetics I|1771703752|ME-251
Mechanical design principles|1887887330|ME-302
Projet de conception|1775757|ME-313
Control systems + TP|1499247990|ME-321
Automatique + TP|1578086108|ME-325
Mécanique vibratoire|1774762|ME-332
Mécanique des fluides incompressibles|1774677|ME-344
Méthode des éléments finis|1774797|ME-372
Projet Génie mécanique I|146861779|ME-401
Projet Génie mécanique II|1775867|ME-402
Methods for rapid production and development|1567044774|ME-415
Fabrication assistée par ordinateur|1773647|ME-416
Production management|228390459|ME-419
System Identification|1670080322|ME-421
Mechanics of composites|1657739114|ME-430
Advanced Fossil and Renewable Energy Systems|128846720|ME-442
Aérodynamique|1772075|ME-445
Two-phase flows and heat transfer|1773402|ME-446
Projet en énergie|72259536|ME-450
Advanced energetics|228377622|ME-451
Hydraulic turbomachines|1777127|ME-453
Turbomachines thermiques|1777132|ME-455
Cavitation et phénomènes d'interface|1772335|ME-462
Flow of dispersed media|1657735730|ME-463
Instability|1887888382|ME-466
Turbulence|1887888435|ME-467
Numerical flow simulation|228388747|ME-474
Biomechanics of the cardiovascular system|132147064|ME-481
Biomechanics of the musculoskeletal system|824161299|ME-482
Commande non linéaire|228381203|ME-523
Engines and fuel cells|228383796|ME-551
Stage d'ingénieur crédité avec le PDM (master en  Génie mécanique)|652077693|ME-597
Projet de master en génie mécanique|132424187|ME-599
Ressources humaines dans les projets|1776087|MGT-365
Corporate strategy|352625368|MGT-400
Strategic marketing & technology commercialization|352632242|MGT-401
B2B - high-tech marketing|840844976|MGT-402
Technology policy and the energy transition|1899816746|MGT-408
D. Thinking: real problems, human-focused solutions|1909733620|MGT-409
Organizational behavior|1899816322|MGT-412
Entrepreneurship & new venture strategy (a)|1581027726|MGT-413(a)
Technology & innovation strategy|1899737319|MGT-414
Management de projet et analyse du risque|353834062|MGT-427
Business information systems|1693707617|MGT-429
Information technology and e-business strategy|47997051|MGT-439
Principles of microeconomics|352624843|MGT-454
Negotiation techniques|353945800|MGT-466
Presentation skills|353946213|MGT-469
Financial & managerial accounting|229912643|MGT-481
Principles of finance|1581023265|MGT-482
Applied probability & stochastic processes|352617902|MGT-484
Early detection of innovation potential|1543121763|MGT-500
Entrepreneurship laboratory (e-lab)|840843791|MGT-517
Operations: economics & strategy|1543121640|MGT-528
Master project in Management of Technology|132448731|MGT-599
Systèmes vibratoires|1776627|MICRO-300
Composants semiconducteurs|4145668|MICRO-312
Conversion électromécanique II|23939045|MICRO-313
Ingénierie optique I|400766326|MICRO-321
Technologie des microstructures I|1776702|MICRO-331
Méthodes de production|1774827|MICRO-340
Interfaces in biology and nanoscience|1580272486|MICRO-391
Selected topics in advanced optics|1776027743|MICRO-420
Lasers : theory and modern applications|1776024041|MICRO-422
Scaling laws in micro- and nanosystems|824206674|MICRO-430
Microstructures technology II|1776047660|MICRO-431
Microelectronics|71603578|MICRO-432
Assemblage et robotique TP|1771905|MICRO-442
Bases de la robotique|824210739|MICRO-450
Mobile robots|1776107|MICRO-454
Applied machine learning|47233600|MICRO-455
Project in neuroprosthetics|1582861537|MICRO-486
Projet microtechnique I|1775907|MICRO-498
Projet microtechnique II|1775912|MICRO-499
Image processing I|47994028|MICRO-511
Flexible bioelectronics|1658221961|MICRO-514
Optical detectors|1776050537|MICRO-523
Nanotechnology|1659463240|MICRO-530
BioMEMS|23996074|MICRO-560
Biomicroscopy I|47830388|MICRO-561
Projet en technologies biomédicales|229613299|MICRO-563
Seminar in physiology and instrumentation|1676570902|MICRO-568
Stage d'ingénieur crédité avec le PDM (master en  Microtechnique)|652078044|MICRO-597
Projet de master en microtechnique|132424568|MICRO-599
Introduction à la science des matériaux (sem. automne)|72257890|MSE-100(b)
Milieux continus|1774972|MSE-203
Thermodynamics for materials science|838974819|MSE-204
Matériaux microtechniques : polymères et céramiques|1888084194|MSE-208
Propriétés fonctionnelles des matériaux|352055084|MSE-210
Métaux et alliages + TP|1771705517|MSE-236
Matériaux II|1774567|MSE-270
Theory of materials : from structures to properties |1888393325|MSE-300
Surfaces and interfaces|838978162|MSE-304
Déformations des matériaux|1771712588|MSE-310
Elaboration des céramiques et des colloïdes +TP|838976977|MSE-326
Composites polymères + TP|838976529|MSE-340
Introduction à la microscopie + TP|838977426|MSE-352
Technologie et mise en oeuvre des polymères + TP|838978869|MSE-360
Projet Matériaux|838979534|MSE-390
Materials Science|24429568|MSE-403
Cementitious materials (advanced)|1774522|MSE-420
Fundamentals of solid-state materials|1888395138|MSE-423
Fracture of materials|1888395622|MSE-424
Soft matter|1888395338|MSE-425
Life cycle engineering of polymers|840801900|MSE-430
Polymer chemistry and macromolecular engineering|1771538|MSE-437
Composites technology|71630664|MSE-440
Electrochemistry for materials technology|1771714545|MSE-441
Modelling problem solving, computing and visualisation I|1928513209|MSE-443(a)
Electron microscopy: advanced methods|128342116|MSE-450
Powder technology|71630770|MSE-462
Thin film fabrication processes|1773427|MSE-465
Seminar series on advances in materials|71629360|MSE-470
Biomaterials (pour MX)|1702138731|MSE-471
Matériaux pierreux et conservation du patrimoine bâti|352059962|MSE-472
Advanced nanomaterials|229734640|MSE-477
Introduction to nanomaterials|229734572|MSE-479
Tribology|840814050|MSE-485
Research project in materials I|352059100|MSE-490(a)
Research project in materials II|352059163|MSE-490(b)
Specialisation project in materials|1888402628|MSE-490(c)
Stage d'ingénieur crédité avec le PDM (master en  Science et génie des matériaux)|652078287|MSE-597
Projet de master en science et génie des matériaux|132428658|MSE-599
Physique avancée I|1659017558|PHYS-100
Physique générale I|1775427|PHYS-101(a)
Physique générale I|1775427|PHYS-101(b)
Physique générale I|1775427|PHYS-101(c)
Physique générale I|1775427|PHYS-101(d)
Physique générale I (allemand)|2207995|PHYS-101(de)
Physique générale I|1775427|PHYS-101(e)
Physique générale I (anglais)|784634759|PHYS-101(en)
Physique générale I|1775427|PHYS-101(f)
Physique générale I|1775427|PHYS-101(g)
Physique générale I|1775427|PHYS-101(h)
Physique générale I|1775427|PHYS-101(i)
Laboratoire de physique (métrologie) Ia|1659025202|PHYS-104
General physics II|1888788429|PHYS-114
Physique du bâtiment I|1775332|PHYS-115
Physique III|1775477|PHYS-200
Physique générale III|1775452|PHYS-201(a)
Physique générale III|1775452|PHYS-201(b)
Physique générale III|1775452|PHYS-201(c)
General physics III|359060026|PHYS-201(e)
Physique du bâtiment III|1775342|PHYS-217
Biophysics II|431474304|PHYS-302
Physics of materials|1803204353|PHYS-307
Physique du solide I|1775372|PHYS-309
Physique nucléaire et corpusculaire I|1775497|PHYS-311
Physique quantique I|1775507|PHYS-313
Physique statistique I|1775532|PHYS-315
Optique II|1775157|PHYS-318
Laboratoire de physique IIIa|1659048310|PHYS-319
Electrodynamique classique|1773442|PHYS-324
Physique du bâtiment V|1775352|PHYS-335
Astrophysics III : Stellar and galactic dynamics|230678232|PHYS-401
Computer simulation of physical systems I|128848626|PHYS-403
Experimental methods in physics I|128690863|PHYS-405
Frontiers in nanosciences|243429820|PHYS-407
Physics of atoms, nuclei and elementary particles|138587084|PHYS-411
Particules élémentaires I|1775212|PHYS-415
Physique du solide III|1775382|PHYS-419
Laboratoire de physique IVa|1684920459|PHYS-421
Laboratoire de physique IVb|1684920421|PHYS-422
Plasma physics II|127857132|PHYS-423
Quantum physics III|1775517|PHYS-425
Relativity and cosmology I|128851969|PHYS-427
Relativistic quantum fields I|128847590|PHYS-431
Semiconductor physics and fundamentals of electronic devices|1913487410|PHYS-433
Statistical physics III|128851781|PHYS-435
Statistical physics of biomacromolecules|128851631|PHYS-441
Neutronics|128851000|PHYS-443
Nuclear fusion and plasma physics|129286243|PHYS-445
Reactor Experiments|129285391|PHYS-446
Reactor Technology|128852199|PHYS-447
Introduction to particle accelerators|24375105|PHYS-448
Radiation protection & radiation applications|1771693280|PHYS-450
Quantum electrodynamics and quantum optics|1771690442|PHYS-453
Medical radiation physics |1803668078|PHYS-455
Metrology I|1771714259|PHYS-458
Projet de master en physique|132425627|PHYS-500(a)
Projet de master en génie nucléaire|266851392|PHYS-501(a)
Projet de master en physique|132425627|PHYS-502(a)
Stage d'ingénieur (master en Génie nucléaire)|652059419|PHYS-595
Stage d'ingénieur (master en Ingénierie physique)|354383690|PHYS-596
Algèbre linéaire (pour CMS)|85594280|PREPA-001
Analyse I, II (pour CMS)|71644560|PREPA-003
Analyse I, II (pour CMS)|71644560|PREPA-005
Application des mathématiques (CMS)|1771829|PREPA-007
Biologie (pour CMS)|29870604|PREPA-009
Chimie (pour CMS)|1772417|PREPA-011
Géométrie analytique (pour CMS)|1773787|PREPA-013
Géométrie descriptive (pour CMS)|1773792|PREPA-015
Informatique (pour CMS)|1774102|PREPA-017
Physique (pour CMS)|1775277|PREPA-021
